"filename", "language", "PHP", "Markdown", "JavaScript", "JSON", "PostCSS", "XML", "comment", "blank", "total"
"/home/waqqirhumaid/wqworld/Dziqqir/public/index.php", "PHP", 10, 0, 0, 0, 0, 0, 4, 7, 21
"/home/waqqirhumaid/wqworld/Dziqqir/resources/css/app.css", "PostCSS", 0, 0, 0, 0, 38, 0, 0, 7, 45
"/home/waqqirhumaid/wqworld/Dziqqir/resources/js/app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/waqqirhumaid/wqworld/Dziqqir/resources/js/bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/admin/index.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/components/footer.blade.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 3, 86
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/components/layout.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/components/nav-bar.blade.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 5, 49
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/hewan/create.blade.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 13, 111
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/index.blade.php", "PHP", 214, 0, 0, 0, 0, 0, 0, 28, 242
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/layanan.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 4, 45
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/login.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 5, 44
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/penjual/index.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/produk.blade.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 10, 62
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/register.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 5, 86
"/home/waqqirhumaid/wqworld/Dziqqir/resources/views/welcome.blade.php", "PHP", 270, 0, 0, 0, 0, 0, 0, 8, 278
"/home/waqqirhumaid/wqworld/Dziqqir/routes/console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/home/waqqirhumaid/wqworld/Dziqqir/routes/web.php", "PHP", 18, 0, 0, 0, 0, 0, 1, 6, 25
"/home/waqqirhumaid/wqworld/Dziqqir/tests/Feature/ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 4, 5, 20
"/home/waqqirhumaid/wqworld/Dziqqir/tests/TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"/home/waqqirhumaid/wqworld/Dziqqir/tests/Unit/ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 3, 4, 17
"/home/waqqirhumaid/wqworld/Dziqqir/vite.config.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"Total", "-", 2181, 40, 16, 10473, 38, 33, 819, 534, 14134
